candidate,county,district,party,votes,election_date,state,scope,office
Richard La Salle,Queens,13,IND,375,2010-11-02,NY,general,State Senate
Richard La Salle,Queens,13,CON,437,2010-11-02,NY,general,State Senate
Jose R. Peralta,Queens,13,WOR,1920,2010-11-02,NY,general,State Senate
Blank,Queens,13,,3850,2010-11-02,NY,general,State Senate
Void,Queens,13,,,2010-11-02,NY,general,State Senate
Scattering,Queens,13,,30,2010-11-02,NY,general,State Senate
Total,Queens,13,,32821,2010-11-02,NY,general,State Senate
Malcolm A. Smith,Queens,14,DEM,40737,2010-11-02,NY,general,State Senate
Samuel Benoit,Queens,14,REP,7798,2010-11-02,NY,general,State Senate
Malcolm A. Smith,Queens,14,IND,704,2010-11-02,NY,general,State Senate
Everly Brown,Queens,14,CON,2033,2010-11-02,NY,general,State Senate
Malcolm A. Smith,Queens,14,WOR,1915,2010-11-02,NY,general,State Senate
Blank,Queens,14,,6008,2010-11-02,NY,general,State Senate
Void,Queens,14,,0,2010-11-02,NY,general,State Senate
Scattering,Queens,14,,44,2010-11-02,NY,general,State Senate
Total,Queens,14,,59239,2010-11-02,NY,general,State Senate
"Joseph P. Addabbo, Jr.",Queens,15,DEM,22084,2010-11-02,NY,general,State Senate
Anthony Como,Queens,15,REP,15181,2010-11-02,NY,general,State Senate
"Joseph P. Addabbo, Jr.",Queens,15,IND,1188,2010-11-02,NY,general,State Senate
Anthony Como,Queens,15,CON,2413,2010-11-02,NY,general,State Senate
Blank,Queens,15,,3418,2010-11-02,NY,general,State Senate
Void,Queens,15,,0,2010-11-02,NY,general,State Senate
Scattering,Queens,15,,63,2010-11-02,NY,general,State Senate
Total,Queens,15,,44347,2010-11-02,NY,general,State Senate
Toby Ann Stavisky,Queens,16,DEM,31061,2010-11-02,NY,general,State Senate
Toby Ann Stavisky,Queens,16,IND,1797,2010-11-02,NY,general,State Senate
Robert Schwartz,Queens,16,CON,5171,2010-11-02,NY,general,State Senate
Toby Ann Stavisky,Queens,16,WOR,1613,2010-11-02,NY,general,State Senate
Blank,Queens,16,,12139,2010-11-02,NY,general,State Senate
Void,Queens,16,,0,2010-11-02,NY,general,State Senate
Scattering,Queens,16,,83,2010-11-02,NY,general,State Senate
Total,Queens,16,,51864,2010-11-02,NY,general,State Senate
Martin Malave Dilan,Kings,17,DEM,31483,2010-11-02,NY,general,State Senate
Michael E. Freeman-Saulsberre,Kings,17,REP,2519,2010-11-02,NY,general,State Senate
Michael E. Freeman-Saulsberre,Kings,17,CON,565,2010-11-02,NY,general,State Senate
Blank,Kings,17,,6525,2010-11-02,NY,general,State Senate
Void,Kings,17,,0,2010-11-02,NY,general,State Senate
Scattering,Kings,17,,39,2010-11-02,NY,general,State Senate
Total,Kings,17,,41131,2010-11-02,NY,general,State Senate
Velmanette Montgomery,Kings,18,DEM,46725,2010-11-02,NY,general,State Senate
Laquan O. Word,Kings,18,REP,1865,2010-11-02,NY,general,State Senate
Laquan O. Word,Kings,18,CON,465,2010-11-02,NY,general,State Senate
Velmanette Montgomery,Kings,18,WOR,7592,2010-11-02,NY,general,State Senate
Blank,Kings,18,,5972,2010-11-02,NY,general,State Senate
Void,Kings,18,,0,2010-11-02,NY,general,State Senate
Scattering,Kings,18,,17,2010-11-02,NY,general,State Senate
Total,Kings,18,,62636,2010-11-02,NY,general,State Senate
John L. Sampson,Kings,19,DEM,41384,2010-11-02,NY,general,State Senate
Rose Laney,Kings,19,REP,2620,2010-11-02,NY,general,State Senate
John L. Sampson,Kings,19,IND,352,2010-11-02,NY,general,State Senate
Rose Laney,Kings,19,CON,451,2010-11-02,NY,general,State Senate
John L. Sampson,Kings,19,WOR,1714,2010-11-02,NY,general,State Senate
Blank,Kings,19,,5915,2010-11-02,NY,general,State Senate
Void,Kings,19,,0,2010-11-02,NY,general,State Senate
Scattering,Kings,19,,5,2010-11-02,NY,general,State Senate
Total,Kings,19,,52441,2010-11-02,NY,general,State Senate
Eric Adams,Kings,20,DEM,43647,2010-11-02,NY,general,State Senate
Allan E. Romaguera,Kings,20,REP,3569,2010-11-02,NY,general,State Senate
Allan E. Romaguera,Kings,20,CON,783,2010-11-02,NY,general,State Senate
Eric Adams,Kings,20,WOR,7951,2010-11-02,NY,general,State Senate
Blank,Kings,20,,5455,2010-11-02,NY,general,State Senate
Void,Kings,20,,0,2010-11-02,NY,general,State Senate
Scattering,Kings,20,,19,2010-11-02,NY,general,State Senate
Total,Kings,20,,61424,2010-11-02,NY,general,State Senate
Kevin S. Parker,Kings,21,DEM,35426,2010-11-02,NY,general,State Senate
Jeffrey Lodge,Kings,21,REP,5950,2010-11-02,NY,general,State Senate
Brian Kelly,Kings,21,CON,1024,2010-11-02,NY,general,State Senate
Kevin S. Parker,Kings,21,WOR,2901,2010-11-02,NY,general,State Senate
Blank,Kings,21,,5958,2010-11-02,NY,general,State Senate
Void,Kings,21,,0,2010-11-02,NY,general,State Senate
Scattering,Kings,21,,22,2010-11-02,NY,general,State Senate
Total,Kings,21,,51281,2010-11-02,NY,general,State Senate
Michael DiSanto,Kings,22,DEM,13484,2010-11-02,NY,general,State Senate
Martin J. Golden,Kings,22,REP,23621,2010-11-02,NY,general,State Senate
Martin J. Golden,Kings,22,IND,1498,2010-11-02,NY,general,State Senate
Martin J. Golden,Kings,22,CON,3151,2010-11-02,NY,general,State Senate
Michael DiSanto,Kings,22,WOR,1182,2010-11-02,NY,general,State Senate
Blank,Kings,22,,4387,2010-11-02,NY,general,State Senate
Void,Kings,22,,0,2010-11-02,NY,general,State Senate
Scattering,Kings,22,,14,2010-11-02,NY,general,State Senate
Total,Kings,22,,47337,2010-11-02,NY,general,State Senate
Diane J. Savino,Kings,23,DEM,10406,2010-11-02,NY,general,State Senate
Diane J. Savino,Richmond,23,DEM,15066,2010-11-02,NY,general,State Senate
Diane J. Savino,Total,23,DEM,25472,2010-11-02,NY,general,State Senate
Diane J. Savino,Kings,23,IND,1087,2010-11-02,NY,general,State Senate
Diane J. Savino,Richmond,23,IND,1488,2010-11-02,NY,general,State Senate
Diane J. Savino,Total,23,IND,2575,2010-11-02,NY,general,State Senate
Diane J. Savino,Kings,23,WOR,642,2010-11-02,NY,general,State Senate
Diane J. Savino,Richmond,23,WOR,1219,2010-11-02,NY,general,State Senate
Diane J. Savino,Total,23,WOR,1861,2010-11-02,NY,general,State Senate
Blank,Kings,23,,6754,2010-11-02,NY,general,State Senate
Blank,Richmond,23,,6202,2010-11-02,NY,general,State Senate
Blank,Total,23,,12956,2010-11-02,NY,general,State Senate
Void,Kings,23,,0,2010-11-02,NY,general,State Senate
Void,Richmond,23,,0,2010-11-02,NY,general,State Senate
Void,Total,23,,0,2010-11-02,NY,general,State Senate
Scattering,Kings,23,,43,2010-11-02,NY,general,State Senate
Scattering,Richmond,23,,120,2010-11-02,NY,general,State Senate
Scattering,Total,23,,163,2010-11-02,NY,general,State Senate
Total,Kings,23,,18932,2010-11-02,NY,general,State Senate
Total,Richmond,23,,24095,2010-11-02,NY,general,State Senate
Total,Total,23,,43027,2010-11-02,NY,general,State Senate
Andrew J. Lanza,Richmond,24,REP,43429,2010-11-02,NY,general,State Senate
Andrew J. Lanza,Richmond,24,IND,4681,2010-11-02,NY,general,State Senate
Andrew J. Lanza,Richmond,24,CON,6492,2010-11-02,NY,general,State Senate
Blank,Richmond,24,,20263,2010-11-02,NY,general,State Senate
Void,Richmond,24,,0,2010-11-02,NY,general,State Senate
Scattering,Richmond,24,,408,2010-11-02,NY,general,State Senate
Total,Richmond,24,,75273,2010-11-02,NY,general,State Senate
Daniel L. Squadron,Kings,25,DEM,17421,2010-11-02,NY,general,State Senate
Daniel L. Squadron,New York,25,DEM,25996,2010-11-02,NY,general,State Senate
Daniel L. Squadron,Total,25,DEM,43417,2010-11-02,NY,general,State Senate
Joseph A. Nardiello,Kings,25,REP,2989,2010-11-02,NY,general,State Senate
Joseph A. Nardiello,New York,25,REP,5228,2010-11-02,NY,general,State Senate
Joseph A. Nardiello,Total,25,REP,8217,2010-11-02,NY,general,State Senate
Daniel L. Squadron,Kings,25,WOR,3725,2010-11-02,NY,general,State Senate
Daniel L. Squadron,New York,25,WOR,3343,2010-11-02,NY,general,State Senate
Daniel L. Squadron,Total,25,WOR,7068,2010-11-02,NY,general,State Senate
Blank,Kings,25,,2472,2010-11-02,NY,general,State Senate
Blank,New York,25,,5412,2010-11-02,NY,general,State Senate
Blank,Total,25,,7884,2010-11-02,NY,general,State Senate
Void,Kings,25,,0,2010-11-02,NY,general,State Senate
Void,New York,25,,0,2010-11-02,NY,general,State Senate
Void,Total,25,,0,2010-11-02,NY,general,State Senate
Scattering,Kings,25,,11,2010-11-02,NY,general,State Senate
Scattering,New York,25,,44,2010-11-02,NY,general,State Senate
Scattering,Total,25,,55,2010-11-02,NY,general,State Senate
Total,Kings,25,,26618,2010-11-02,NY,general,State Senate
Total,New York,25,,40023,2010-11-02,NY,general,State Senate
Total,Total,25,,66641,2010-11-02,NY,general,State Senate
Liz Krueger,New York,26,DEM,53019,2010-11-02,NY,general,State Senate
Saul J. Farber,New York,26,REP,22194,2010-11-02,NY,general,State Senate
Saul J. Farber,New York,26,IND,1440,2010-11-02,NY,general,State Senate
Liz Krueger,New York,26,WOR,3203,2010-11-02,NY,general,State Senate
Blank,New York,26,,6351,2010-11-02,NY,general,State Senate
Void,New York,26,,0,2010-11-02,NY,general,State Senate
Scattering,New York,26,,50,2010-11-02,NY,general,State Senate
Total,New York,26,,86257,2010-11-02,NY,general,State Senate
Carl Kruger,Kings,27,DEM,25004,2010-11-02,NY,general,State Senate
Avrahom Rosenberg,Kings,27,CON,9152,2010-11-02,NY,general,State Senate
Blank,Kings,27,,15701,2010-11-02,NY,general,State Senate
Void,Kings,27,,0,2010-11-02,NY,general,State Senate
Scattering,Kings,27,,48,2010-11-02,NY,general,State Senate
Total,Kings,27,,49905,2010-11-02,NY,general,State Senate
Jose M. Serrano,Bronx,28,DEM,17896,2010-11-02,NY,general,State Senate
Jose M. Serrano,New York,28,DEM,13334,2010-11-02,NY,general,State Senate
Jose M. Serrano,Total,28,DEM,31230,2010-11-02,NY,general,State Senate
Jon Girodes,Bronx,28,REP,581,2010-11-02,NY,general,State Senate
Jon Girodes,New York,28,REP,2050,2010-11-02,NY,general,State Senate
Jon Girodes,Total,28,REP,2631,2010-11-02,NY,general,State Senate
Keesha S. Weiner,Bronx,28,CON,260,2010-11-02,NY,general,State Senate
Keesha S. Weiner,New York,28,CON,308,2010-11-02,NY,general,State Senate
Keesha S. Weiner,Total,28,CON,568,2010-11-02,NY,general,State Senate
Jose M. Serrano,Bronx,28,WOR,848,2010-11-02,NY,general,State Senate
Jose M. Serrano,New York,28,WOR,1037,2010-11-02,NY,general,State Senate
Jose M. Serrano,Total,28,WOR,1885,2010-11-02,NY,general,State Senate
Blank,Bronx,28,,2532,2010-11-02,NY,general,State Senate
Blank,New York,28,,2951,2010-11-02,NY,general,State Senate
Blank,Total,28,,5483,2010-11-02,NY,general,State Senate
Void,Bronx,28,,0,2010-11-02,NY,general,State Senate
Void,New York,28,,0,2010-11-02,NY,general,State Senate
Void,Total,28,,0,2010-11-02,NY,general,State Senate
Scattering,Bronx,28,,15,2010-11-02,NY,general,State Senate
Scattering,New York,28,,25,2010-11-02,NY,general,State Senate
Scattering,Total,28,,40,2010-11-02,NY,general,State Senate
Total,Bronx,28,,22132,2010-11-02,NY,general,State Senate
Total,New York,28,,19705,2010-11-02,NY,general,State Senate
Total,Total,28,,41837,2010-11-02,NY,general,State Senate
Thomas K. Duane,New York,29,DEM,62468,2010-11-02,NY,general,State Senate
Joseph A. Mendola,New York,29,REP,12475,2010-11-02,NY,general,State Senate
Thomas K. Duane,New York,29,WOR,9177,2010-11-02,NY,general,State Senate
Blank,New York,29,,8371,2010-11-02,NY,general,State Senate
Void,New York,29,,0,2010-11-02,NY,general,State Senate
Scattering,New York,29,,74,2010-11-02,NY,general,State Senate
Total,New York,29,,92565,2010-11-02,NY,general,State Senate
Bill Perkins,New York,30,DEM,51784,2010-11-02,NY,general,State Senate
Donal Yarbrough,New York,30,REP,3795,2010-11-02,NY,general,State Senate
Bill Perkins,New York,30,WOR,5009,2010-11-02,NY,general,State Senate
Blank,New York,30,,7600,2010-11-02,NY,general,State Senate
Void,New York,30,,0,2010-11-02,NY,general,State Senate
Scattering,New York,30,,71,2010-11-02,NY,general,State Senate
Total,New York,30,,68259,2010-11-02,NY,general,State Senate
Adriano Espaillat,Bronx,31,DEM,5402,2010-11-02,NY,general,State Senate
Adriano Espaillat,New York,31,DEM,39397,2010-11-02,NY,general,State Senate
Adriano Espaillat,Total,31,DEM,44799,2010-11-02,NY,general,State Senate
Stylo Sapaskis,Bronx,31,REP,1600,2010-11-02,NY,general,State Senate
Stylo Sapaskis,New York,31,REP,4788,2010-11-02,NY,general,State Senate
Stylo Sapaskis,Total,31,REP,6388,2010-11-02,NY,general,State Senate
Raphael M. Klapper,Bronx,31,CON,324,2010-11-02,NY,general,State Senate
Raphael M. Klapper,New York,31,CON,640,2010-11-02,NY,general,State Senate
Raphael M. Klapper,Total,31,CON,964,2010-11-02,NY,general,State Senate
Adriano Espaillat,Bronx,31,WOR,473,2010-11-02,NY,general,State Senate
Adriano Espaillat,New York,31,WOR,4735,2010-11-02,NY,general,State Senate
Adriano Espaillat,Total,31,WOR,5208,2010-11-02,NY,general,State Senate
Ann J. Roos,Bronx,31,GRN,218,2010-11-02,NY,general,State Senate
Ann J. Roos,New York,31,GRN,1940,2010-11-02,NY,general,State Senate
Ann J. Roos,Total,31,GRN,2158,2010-11-02,NY,general,State Senate
Blank,Bronx,31,,974,2010-11-02,NY,general,State Senate
Blank,New York,31,,6215,2010-11-02,NY,general,State Senate
Blank,Total,31,,7189,2010-11-02,NY,general,State Senate
Void,Bronx,31,,0,2010-11-02,NY,general,State Senate
Void,New York,31,,0,2010-11-02,NY,general,State Senate
Void,Total,31,,0,2010-11-02,NY,general,State Senate
Scattering,Bronx,31,,8,2010-11-02,NY,general,State Senate
Scattering,New York,31,,95,2010-11-02,NY,general,State Senate
Scattering,Total,31,,103,2010-11-02,NY,general,State Senate
Total,Bronx,31,,8999,2010-11-02,NY,general,State Senate
Total,New York,31,,57810,2010-11-02,NY,general,State Senate
Total,Total,31,,66809,2010-11-02,NY,general,State Senate
Ruben Diaz,Bronx,32,DEM,33519,2010-11-02,NY,general,State Senate
Ruben Diaz,Bronx,32,REP,1747,2010-11-02,NY,general,State Senate
Michael E. Walters,Bronx,32,CON,2116,2010-11-02,NY,general,State Senate
Blank,Bronx,32,,4595,2010-11-02,NY,general,State Senate
Void,Bronx,32,,0,2010-11-02,NY,general,State Senate
Scattering,Bronx,32,,85,2010-11-02,NY,general,State Senate
Total,Bronx,32,,42062,2010-11-02,NY,general,State Senate
J. Gustavo Rivera,Bronx,33,DEM,25022,2010-11-02,NY,general,State Senate
J. Gustavo Rivera,Bronx,33,WOR,2395,2010-11-02,NY,general,State Senate
John Reynolds,Bronx,33,GRN,833,2010-11-02,NY,general,State Senate
Blank,Bronx,33,,5021,2010-11-02,NY,general,State Senate
Void,Bronx,33,,0,2010-11-02,NY,general,State Senate
Scattering,Bronx,33,,34,2010-11-02,NY,general,State Senate
Total,Bronx,33,,33305,2010-11-02,NY,general,State Senate
Jeffrey D. Klein,Bronx,34,DEM,18677,2010-11-02,NY,general,State Senate
Jeffrey D. Klein,Westchester,34,DEM,13239,2010-11-02,NY,general,State Senate
Jeffrey D. Klein,Total,34,DEM,31916,2010-11-02,NY,general,State Senate
"Frank V. Vernuccio, Jr.",Bronx,34,REP,6043,2010-11-02,NY,general,State Senate
"Frank V. Vernuccio, Jr.",Westchester,34,REP,8882,2010-11-02,NY,general,State Senate
"Frank V. Vernuccio, Jr.",Total,34,REP,14925,2010-11-02,NY,general,State Senate
Jeffrey D. Klein,Bronx,34,IND,955,2010-11-02,NY,general,State Senate
Jeffrey D. Klein,Westchester,34,IND,956,2010-11-02,NY,general,State Senate
Jeffrey D. Klein,Total,34,IND,1911,2010-11-02,NY,general,State Senate
"Frank V. Vernuccio, Jr.",Bronx,34,CON,1260,2010-11-02,NY,general,State Senate
"Frank V. Vernuccio, Jr.",Westchester,34,CON,1539,2010-11-02,NY,general,State Senate
"Frank V. Vernuccio, Jr.",Total,34,CON,2799,2010-11-02,NY,general,State Senate
Jeffrey D. Klein,Bronx,34,WOR,1326,2010-11-02,NY,general,State Senate
Jeffrey D. Klein,Westchester,34,WOR,710,2010-11-02,NY,general,State Senate
Jeffrey D. Klein,Total,34,WOR,2036,2010-11-02,NY,general,State Senate
Blank,Bronx,34,,2017,2010-11-02,NY,general,State Senate
Blank,Westchester,34,,1860,2010-11-02,NY,general,State Senate
